"A category with that name already exists!","A category with that name already exists!"
"A config with that path already exists","A config with that path already exists"
"A group with that name already exists!","A group with that name already exists!"
"A series with that name already exists!","A series with that name already exists!"
"A surprise with that name already exists!","A surprise with that name already exists!"
"A user group with that name already exists!","A user group with that name already exists!"
"Active","Active"
"Add Category","Add Category"
"Add Category :: Admin","Add Category :: Admin"
"Add Group","Add Group"
"Add Group :: Admin","Add Group :: Admin"
"Add New Article","Add New Article"
"Add New Category","Add new Category"
"Add new Config","Add new Config"
"Add New Config :: Admin","Add New Config :: Admin"
"Add New Groups","Add New Groups"
"Add New Series","Add New Series"
"Add New Surprise","Add New Surprise"
"Add New User Group","Add New User Group"
"Add Series","Add Series"
"Add Sereis :: Admin","Add Series :: Admin"
"Add Surprise","Add Surprise"
"Add Surprise :: Admin","Add Surprise :: Admin"
"Add User Groups","Add User Groups"
"Add User Groups :: Admin","Add User Groups :: Admin"
"All items were saved","All items were saved"
"Are you sure you want to delete this item ?","Are you sure you want to delete this item ?"
"Banned","Banned"
"Body","Body"
"Cache","Cache"
"Cache Management","Cache Management"
"Categories","Categories"
"Categories list","Categories list"
"Categories List :: Admin","Categories List :: Admin"
"Category","Category"
"Category ID","Category ID"
"Category ID is missing.","Category ID is missing."
"Category Name","Category Name"
"Change status to","Change status to"
"Change User Group to","Change User Group to"
"Choose a type","Choose a type"
"-- Choose one --","-- Choose one --"
"Clear all Memcached keys","Clear all Memcached keys"
"Clear one Memcached key","Clear one Memcached key"
"Config","Config"
"Config added successfully","Config added successfully"
"Config List :: Admin","Config List :: Admin"
"Could not add new permissions to the database","Could not add new permissions to the database"
"Could not delete category file.","Could not delete category file."
"Could not delete series file.","Could not delete series file."
"Could not delete old permissions from the database","Could not delete old permissions from the database"
"Could not upload image","Could not upload image"
"Created at","Created at"
"Cron","Cron"
"Cron Id","Cron Id"
"Cron List","Cron List"
"Cron management","Cron management"
"Cron Run Id","Cron Run Id"
"Cron Runs","Cron Runs"
"Dashboard","Dashboard"
"Debug","Debug"
"Delete not allowed","Delete not allowed"
"Disabled","Disabled"
"Documents Number","Documents Number"
"Duration","Duration"
"Edit Category","Edit Category"
"Edit Category :: Admin","Edit Category :: Admin"
"Edit user","Edit user"
"Email :: Admin","Email :: Admin"
"Email log","Email log"
"Email Log :: Admin","Email Log :: Admin"
"Email menu","Email menu"
"Email queue","Email queue"
"Email queue :: Admin","Email queue :: Admin"
"Edit Group","Edit Group"
"Edit Group :: Admin","Edit Group :: Admin"
"Edit psermissions","Edit psermissions"
"Edit script","Edit script"
"Edit Series","Edit Series"
"Edit Series :: Admin","Edit Series :: Admin"
"Edit Surprise","Edit Surprise"
"Edit Surprise :: Admin","Edit Surprise :: Admin"
"Edit User Groups","Edit User Groups"
"Edit User Groups :: Admin","Edit User Groups :: Admin"
"Elasticsearch","Elasticsearch"
"Elasticsearch Stats","Elasticsearch Stats"
"Emails list","Emails list"
"Enabled","Enabled"
"Error Info","Error Info"
"Error while deleting from database.","Error while deleting from database."
"Error while deleting index from Elasticsearch","Error while deleting index from Elasticsearch."
"Error while saving one of the config values","Error while saving one of the config values"
"Error while saving to the database","Error while saving to the database"
"Filter by status","Filter by status"
"First Name","First Name"
"First page","First page"
"Flush","Flush"
"Flush all Memcached keys","Flush all Memcached keys"
"Flush one Memcached key","Flush one Memcached key"
"Generated in","Generated in"
"Group","Group"
"Groups","Groups"
"Group ID","Group ID"
"Group ID is missing.","Group ID is missing."
"Groups list","Groups list"
"Groups List :: Admin","Groups List :: Admin"
"Group Name","Group Name"
"Image","Image"
"Incorrect file type: %s","Incorrect file type: %s"
"Incorrect input of config ids!","Incorrect input of config ids!"
"Index name is missing","Index name is missing"
"Index Size","Index Size"
"Index was deleted","Index was deleted."
"Interval (minutes)","Interval (minutes)"
"Interval must be a number","Interval must be a number"
"Key %s was deleted !","Key %s was deleted !"
"Last login","Last login"
"Last Name","Last Name"
"Last page","Last page"
"Last Runtime","Last Runtime"
"List Cache Items :: Admin","List Cache Items :: Admin"
"List Cron Items :: Admin","List Cron Items :: Admin"
"List Cron Run Items :: Admin","List Cron Run Items :: Admin"
"List Runs","List Runs"
"Management","Management"
"max 255 symbols","max 255 symbols"
"Memcached","Memcached"
"Memcached :: Admin","Memcached :: Admin"
"Memcached keys flushed","Memcached keys flushed"
"Memcached Stats","Memcached Stats"
"New","New"
"New Image","New Image"
"New permissions are incorrect","New permissions are incorrect"
"Next Runtime","Next Runtime"
"No categories could be found.","No categories could be found."
"No emails found","No emails found"
"No groups could be found.","No groups could be found."
"No series could be found.","No series could be found."
"No surprises could be found.","No surprises could be found."
