"Account","Account"
"Actions","Actions"
"All","All"
"Cancel","Cancel"
"Contact","Contact"
"Copyright © 2017 Surprize Turbo. All rights reserved.","Copyright © 2017 Surprize Turbo. All rights reserved."
"Could not connect to database","Could not connect to database"
"Could not send email. Please try again later.","Could not send email. Please try again later."
"Create account","Create account"
"Designed by Sutprize Turbo","Designed by Sutprize Turbo"
"Edit","Edit"
"Email address","Email address"
"Filter","Filter"
"Home","Home"
"Login","Login"
"Name","Name"
"No","No"
"Please enter a valid email address","Please enter a valid email address"
"Please fill in your name","Please fill in your name"
"Please make sure you filled all the required fields","Please make sure you filled all the required fields"
"Please specify a subject","Please specify a subject"
"Please write the message we should receive","Please write the message we should receive"
"Search","Search"
"Send","Send"
"Welcome","Welcome"
"Yes","Yes"
"You are already logged in !","You are already logged in !"
